Tweet_Num,Date,Text,Favorites,Retweets
1,15-07-16,Thoughts and prayers to the families of the four great Marines killed today,5718,2957
2,15-07-16, failed on the border He should be forced to take an IQ test before being allowed to enter the GOP debate,2345,1458
3,15-07-16, just gave a pollster quote on me He doesnt understand what the word demagoguery means,805,363
4,15-07-16, should be defeated in the primaries Graduated last in his class at Annapolisdummy,1970,1490
5,15-07-16,The thousands of people that showed up for me in Phoenix were amazing Americans  called them craziesmust apologize,1657,898
6,15-07-16,CNN New GOP polls show Trumps favorability is up ,765,314
7,15-07-16,No government ever voluntarily reduces itself in size So governments programs once launched never disappear  Ronald Reagan,2042,1322
8,15-07-16,More Bush cronyism  Jeb Bush and the Common Core Money Trail  ,595,394
9,15-07-16,We need leaders who can negotiate great deals for Americans It is common sense Lets Make America Great Again ,1397,655
10,15-07-16,Leaving for New Hampshire now Making a speechpacked house  Love it,1080,279
11,15-07-16,The Iran deal poses a direct national security threat It must be stopped in Congress Stand up Republicans,1752,1084
12,15-07-16,The worst show in Las Vegas in my opinion is  Hokey garbage New York show even worse,504,204
13,15-07-16,Dopey  ODonnell whose unwatchable show is dying in the ratings said that my Apprentice  numbers were wrong He is a fool,572,256
14,15-07-16,No deal is better than a bad deal America out negotiated again  #Iran,1596,821
15,15-07-16,FLASHBACK  Donald Trump Blasts Obama for Failing to Secure Christian Pastors Freedom in Iran  ,752,455
16,15-07-16,Via  by  Trump Talks Politics at His Virginia Winery ,295,118
17,15-07-16,Via  Trump is Right Illegal Alien Crime is Staggering in Scope and Savagery ,575,356
18,15-07-16,30000 MACYS CUSTOMERS RETALIATE IN SUPPORT OF DONALD TRUMP  ,918,425
19,15-07-16,Is this true about Univision and Fusion Wow  ,334,176
20,15-07-16,Via  by Steve Bannon TIME TO GET TOUGH TRUMPS BLOCKBUSTER POLICY MANIFESTO ,352,201
21,15-07-16,  as a legal immigrant Im so glad someone standing up for us the millions who do things by the book to earn our place here Thx,1106,447
22,15-07-16,   The Democratic party has never given latinos anything Just manipulate them through Univision,623,329
23,15-07-16,They are great people ,447,170
24,15-07-16,Thank you ,928,270
25,15-07-16, I literally give a fist pump when I see  tell things the way they are  calling out those with no credibility,704,228
26,15-07-16,    And the Donald owes NOTHING to lobbyists,529,191
27,15-07-16,   Yea but you know the only problem I see The Donald is the ONLY one willing to tell it like it is,564,174
28,15-07-16,   we never shopped at Macys anyway  will now encourage three daughters not to as well,472,153
29,15-07-16, wasted 400 million  and didnt win one racea total loser ,886,543
30,15-07-16, You shouldnt have  on the airhes a clown with zero credibilitya Bushy,717,415
31,15-07-16, Great talking to you and your parentsfantastic people Keep your sisters very important memory alivebig impact,710,310
32,15-07-16, Thank you you were great You can defend me anytime Amazing job,356,89
33,15-07-16,    GO TRUMP,338,113
34,15-07-16,I hope the boycott of  continues forever So many people are cutting up their cards Macys stores suck and they are bad for USA,2423,1156
35,15-07-16,I loved firing goofball atheist Penn  on The Apprentice He never had a chance Wrote letter to me begging for forgiveness,953,431
36,15-07-16,I hear  show on Broadway is terrible Not surprised boring guy Penn Without The Apprentice  show would have died long ago,1175,1086
37,15-07-16,Irrelevant clown  sweats and shakes nervously on  as he talks bull about me Has zero cred Made fool of himself in 12,1494,930
38,15-07-16, Donald Trump is one of the sexiest men on this planet Every woman dreams of a good man who tells it like it is So true,1800,1738
39,15-07-16,RT  Trump Rove is a clown and a loser ,962,689
40,15-07-17,Response to Huffington Post ,1153,729
41,15-07-17,RT Don  You have been a breath of fresh air Im 69 years old and am basically tired or fed up with the day in day,1026,343
42,15-07-17,RT   Ive been a customer for over 30 years your move to distance from  is repugnant Ill no longer patr,1276,443
43,15-07-17,RT 79  youve already made sacrifices to lead our country Thank you for not backing down We are strong not weak,1070,371
44,15-07-17,RT  Presidential Candidate  continues to surge in national polls #1 #MakeAmericaGreatAgain #Trump2016 ,1115,809
45,15-07-17,Via  ,507,304
46,15-07-17,Via  by  ,390,183
47,15-07-17,Via  ,562,366
48,15-07-17,RT Report #TRUMP End #gunfree zones on #military bases  ,506,444
49,15-07-17,RT   You have the term Islamic terrorism which the president refuses to use #OReillyFactor ,1973,1290
50,15-07-17,Gods word is the same yesterday and today and a million years from now  Graham,2796,1690
51,15-07-17,Donald Trump was proven right on another one of his top issues Thursday gun free zones at military bases ,1145,720
52,15-07-17,Via  March2013 Jeb said he was open topathway for citizenship for illegal immigrants ,491,304
53,15-07-17,We will no longer be silent We can take our country back Lets Make America Great Again ,2304,1076
54,15-07-17,MILITARY LIVES MATTER END GUN FREE ZONES OUR SOLDIERS MUST BE ABLE TO PROTECT THEMSELVES THIS HAS TO STOP,6180,4183
55,15-07-17,Looking forward to speaking at the  ReaganRockefeller Dinner tonight Record crowd We are no longer silent #MAKEAMERICAGREATAGAIN,1103,430
56,15-07-17,I had thousands join me in New Hampshire last night  had 68 The #SilentMajority is fed up with what is going on in America,3984,1971
57,15-07-17,    The whole Gov needs to be remodeled hes the man for the job Id love to see him Prez,926,361
58,15-07-17, It would be to cool if  was the president Thanks,584,164
59,15-07-17,   Trump speaks the truth about foolish leaders negotiating and you hate the truth McCain,617,263
60,15-07-17,Get rid of gun free zones The four great marines who were just shot never had a chance They were highly trained but helpless without guns,9329,7930
61,15-07-17,RT REPORT FOXNEWS  TRUMP EXPANDS LEAD IN POLL ,1083,718
62,15-07-18,One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians I will fix VA quickly,4538,2304
63,15-07-18,Via  Donald Trump John McCain Is A Loser ,944,441
64,15-07-18,Why would anybody listen to  He lost an election that should have easily been won against Obama By the wayso did John McCain,4265,2499
65,15-07-18,Congrats to the new Gov of Texas TX for taking a tough  bold stance at the border Should have been done long ago by Perry,3002,1425
66,15-07-18,I have a proven track record supporting our Veterans Veterans deserve universal access to care VA scandal proves politicians are inept,3090,1548
67,15-07-18,that has served our country is put on a waiting list and gets no care,4859,3308
68,15-07-18,Its a national embarrassment that an illegal immigrant can walk across the border and receive free health care and one of our Veterans,7741,5305
69,15-07-18,I will make this right for our great Vets,2313,832
70,15-07-18,All he does is go on television is talk talk talk but incapable of doing anything,1517,580
71,15-07-18,John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives,1708,848
72,15-07-18,The Veterans of our country have been treated like third class citizens for many years,2620,1392
73,15-07-18,Captured or not all our soldiers are heroes,2525,1215
74,15-07-18,In addition to doing a lousy job in taking care of our Vets John McCain let us down by losing to Barack Obama in his run for President,2147,1176
75,15-07-18,Just left Family Leadership Summit in Iowa got a standing ovation from many wonderful people I will be back soon,1211,344
76,15-07-18,Statement on John McCain ,775,589
77,15-07-18,I am now in Iowa getting ready to speak People are always amazed to find out that I am Protestant Presbyterian GREAT,2758,963
78,15-07-18,The 10 billion net worth is AFTER all debt and liabilities So simple to understand but    is just plain dumb,2092,898
79,15-07-18,Ratings starved  and  does not cover me accurately Why cant they get it right  its really not that hard,1481,562
80,15-07-18,Made a speech in Arkansas last night before a record GOP crowd Great spirit and amazing people MAKE AMERICA GREAT AGAIN,2045,686
81,15-07-18,Its driving   the money losing  post crazy that I am #1 in their poll and they only write bad stories about me,2010,851
82,15-07-18,The liberal clown   told her minions at the money losing  to cover me as enterainment I am #1 in Huff Post Poll,2235,1099
83,15-07-18,  makes me proud to be an American So nice thank you,749,205
84,15-07-18,  your what America needs Donald  Thank you,938,282
85,15-07-18,   it doesnt matter how you vote for Donald just remember to vote Donald Trump for POTUS,763,257
86,15-07-18,  has all of my support,560,153
87,15-07-18,  The  has your back TRUMP FOR PREZ,473,133
88,15-07-18,  if you dont win Im moving to Europe We will all win together,646,171
89,15-07-18, This is the first time in my adult life that I have been excited about an election #Trump2016 #TrumpForPresident,1452,516
90,15-07-18,  for our next President ,586,176
91,15-07-18, I am always on the road I am gonna do the absentee ballot thing in the primarys and Mr Trump has my vote,502,139
92,15-07-18,AmazingThank you,1542,695
93,15-07-18, really great job handling the wise guys  so easy for you such talent I wont forget,1355,347
94,15-07-19,I will be making some very big campaign stops next week  big crowds and tremendous  energy  MAKE AMERICA GREAT AGAIN,3324,1166
95,15-07-19,The Republican Party must get tougher and smarter and fast or it will go down to a very big defeat  just like the last two times,3811,1866
96,15-07-19,A true piece about the standing ovations I got yesterday ,979,486
97,15-07-19,The Veterans Administration is in shambles and our veterans are suffering greatly John McCain has done nothing to help them but talk,3349,2019
98,15-07-19,John McCain called thousands of people crazies when they came to seek help on illegal immigration last week in Phoenix He owes apology,3358,2288
99,15-07-19,RT  Fact Check The Washington Post on Donald Trump  John McCain ,915,1007
100,15-07-19,79   Why do they attack Mr Trump Because he has something they dont The ability of truth Trump is here,1853,782
101,15-07-19,cheri   Mr Trump the only one telling the truth Liberals cant stand the fact that your are leading in the poll,1385,573
102,15-07-19,   kick there ass Trump,832,326
103,15-07-19,   Im on the #TrumpTrain2016,618,209
104,15-07-19,   Because she shoots straight like you do Mr Trump No bullsht Just TRUTH #FactCheck #QuitHatin,579,209
105,15-07-19,Wow   just wrote the definitive piece on what I said about John McCain ,1246,1049
106,15-07-20,I will be interviewed on  tonight at 800 Will be talking about the poor treatment of our veterans illegal immigration etc,1941,727
107,15-07-20,RT  #Breaking#ABC #NEWS  #Washington releases poll  5pET with  at 24  2nd place coming in at 13 ,1038,885
108,15-07-20,RT  Were on snapchat Add us for behind the scenes photos  videos on the campaign trail in SC #MakeAmericaGreatAgain ,474,236
109,15-07-20,Look how small the pages have become  Looks like a tabloidsaving money I assume,802,342
110,15-07-20,This story is no longer about John McCain its about our horribly treated vets Illegals are treated better than our wonderful veterans,4771,2796
111,15-07-20,It was only after I informed NBC that I wouldnt do the Apprentice that they became upset w me They couldnt care less about inclusion,1345,540
112,15-07-20,  I agree 100 McCain is fighting for illegal immigrant but never did anything for our Vets,1012,555
113,15-07-20,RT  Full clip from this mornings segment on #CNN New Day with  talking  and #Trump2016  ,733,476
114,15-07-20, 2     rest of GOP only cries but Trump gets stuff DONE,603,245
115,15-07-20,  the left is petrified of you Why else would they be attacking you so vigorously,789,334
116,15-07-20,   Trump already hosts vets at his resorts What does Hillary do,749,342
117,15-07-20, Trump says things that no one else would even consider saying I agree with him on the immigration situation i love honesty,880,333
118,15-07-20,EOD  I believe we have passed that point There are Homeless Veterans in USA  yet Illegal Aliens get Government Housing,1474,957
119,15-07-20,  hosts events around the #USA 4our #Veterans Long before a presidential run He loves our military,667,339
120,15-07-20, This is big criticism of the Republican field Speak truth and stop being so PC This is why  resonates,769,344
121,15-07-20,   At least were talking about the #VA We werent a month ago  ,798,331
122,15-07-20,We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans,3646,2192
123,15-07-20,The ever dwindling  which is worth about 110 of what it was purchased for is always hitting me politically Who cares,944,467
124,15-07-20,  Glad U R Man Enough 2 Speak the Truth in this Pathetic Politically Correct World,1641,652
125,15-07-20,   Trump is the only person we believe will actually set things right,942,319
126,15-07-20, RT  My  piece Trump I dont need to be lectured ,524,225
127,15-07-20,     The truth hurts sometimes who careskeep telling it like it is,892,314
128,15-07-20,3v  you have the guts and backbone this country politics has needed for years #Trump2016 #TrumpForAmerica,972,390
129,15-07-20,  Will make the best President ever,783,236
130,15-07-20, Keep it up Donald America needs a Winner not a Whiner,856,345
131,15-07-20,     WE LOVE YOU TRUMP TRUMP FOR PRESIDENT #MakeAmericaGreatAgain,634,230
132,15-07-20,USnow 62   what do you say now ,996,904
133,15-07-20,  Voters LIKE tough and smart thats why we are voting TRUMP 2016,731,256
134,15-07-20,    Gotta love the honesty,506,160
135,15-07-20,  trump for president ,2267,1097
136,15-07-20,  thats all the career politicians do is talk,659,236
137,15-07-20,  RN for 27 yrs Veterans have less benefits than medicaid recipients Thnx for speaking#TRUTH,977,526
138,15-07-20,  Bravo for saying whats on most of Americans mind Lets make America great again,837,298
139,15-07-20,vince The left wing politically correct cannot handle big don giving the truthrealitykeep saying it like it is ,793,286
140,15-07-20,rant They cant handle you Donald so want you out the race well good luckbecause we know you wont walk away Give it to them,831,300
141,15-07-20, McCain epitomizes the career politicians who have gotten us into our 19 TRILLION trainwreck including the VA debacle,1024,580
142,15-07-20,My  piece Trump I dont need to be lectured ,1377,844
143,15-07-21,Via  Mother of Murdered Teen Thanks Donald Trump During Senate Hearing ,1144,719
144,15-07-21,My response to the failing Des Moines Register the ultra liberal paper that has no power in Iowa ,929,469
145,15-07-21,  All Talk No Walk Old Politics Lets Go  #MakeAmericaGreatAgain #GetItDone,947,372
146,15-07-21,  dont get discouraged keep telling the truth Your detractors cant handle the truth,1169,481
